Id,tipo_moradia,localizacao,andares,nota_casa,ano_contrucao,banheiros,vagas_garagem,cozinhas,banheiros,tamanho(em pés quadrados),tamanho lote (n útil)
1493,Densidade Residencial Baixa,Sawyer,1 andar,6,1974,3,2.0,1,3.0,1494,15410
1494,Densidade Residencial Baixa,Northridge,2 andares,5,1993,4,3.0,1,4.0,2349,13143
1495,Densidade Residencial Baixa,Northridge,2 andares,5,1992,4,3.0,1,4.0,2225,11134
1496,Área Residencial de Vilas Flutuantes,Somerset,1 andar,5,2004,2,2.0,1,3.0,1488,4835
1497,Área Residencial de Vilas Flutuantes,Somerset,2 andares,5,2004,2,2.0,1,3.0,1680,3515
1498,Área Residencial de Vilas Flutuantes,Somerset,2 andares,5,2004,2,2.0,1,3.0,1200,3215
1499,Área Residencial de Vilas Flutuantes,Somerset,2 andares,5,2004,2,2.0,1,4.0,1200,2544
1500,Área Residencial de Vilas Flutuantes,Somerset,2 andares,5,2005,2,2.0,1,4.0,1236,2544
1501,Área Residencial de Vilas Flutuantes,Somerset,2 andares,5,2000,2,2.0,1,4.0,1512,2980
1502,Área Residencial de Vilas Flutuantes,Somerset,2 andares,5,2003,2,2.0,1,3.0,1080,2403
1503,Área Residencial de Vilas Flutuantes,Somerset,1 andar,5,2010,1,3.0,1,3.0,1418,12853
1504,Área Residencial de Vilas Flutuantes,Somerset,2 andares,5,2000,3,2.0,1,4.0,1848,7379
1505,Área Residencial de Vilas Flutuantes,Somerset,1 andar,5,2002,3,2.0,1,3.0,1492,8000
1506,Densidade Residencial Baixa,Northwest Ames,1 andar,6,1967,4,2.0,1,3.0,1829,10456
1507,Densidade Residencial Baixa,Northwest Ames,2 andares,5,1993,4,2.0,1,4.0,2495,10791
1508,Densidade Residencial Baixa,Northwest Ames,2 andares,5,1978,3,2.0,1,4.0,1891,18837
1509,Densidade Residencial Baixa,Northwest Ames,2 andares,6,1971,4,2.0,1,3.0,1645,9600
1510,Densidade Residencial Baixa,NAmes,1 andar,5,1966,3,2.0,1,3.0,1232,9600
1511,Densidade Residencial Baixa,NAmes,1 andar,5,1966,3,2.0,1,2.0,1209,9900
1512,Densidade Residencial Baixa,NAmes,1 andar,6,1967,3,2.0,1,3.0,1510,9680
1513,Densidade Residencial Baixa,NAmes,2 andares,5,1964,3,2.0,1,2.0,1775,10600
1514,Densidade Residencial Baixa,NAmes,1 andar,6,1962,6,0.0,2,4.0,1728,13260
1515,Densidade Residencial Baixa,NAmes,2 andares,7,1952,3,2.0,1,2.0,2461,9724
1516,Densidade Residencial Baixa,NAmes,2 andares,6,1949,3,2.0,1,2.0,1556,17360
1517,Densidade Residencial Baixa,NAmes,2 andares,8,1966,2,1.0,1,2.0,1128,11380
1518,Densidade Residencial Baixa,NAmes,1 andar,5,1958,4,2.0,2,2.0,1604,8267
1519,Densidade Residencial Baixa,NAmes,1 andar,5,2003,3,2.0,1,3.0,1480,8197
1520,Densidade Residencial Baixa,NAmes,1 andar,5,1959,3,1.0,1,2.0,1143,8050
1521,Densidade Residencial Baixa,NAmes,1 andar,5,1959,3,1.0,1,1.0,1206,10725
1522,Densidade Residencial Baixa,NAmes,1 andar,5,1959,3,2.0,1,3.0,1580,10032
1523,Densidade Residencial Baixa,NAmes,2 andares,5,1956,3,1.0,1,1.0,1337,8382
1524,Densidade Residencial Baixa,NAmes,1 andar,7,1952,2,1.0,1,2.0,1064,10950
1525,Densidade Residencial Baixa,NAmes,1 andar,6,1955,3,1.0,1,1.0,972,10895
1526,Densidade Residencial Baixa,NAmes,1 andar,5,1958,2,1.0,1,2.0,988,13587
1527,Densidade Residencial Baixa,NAmes,1 andar,7,1920,2,2.0,1,2.0,985,7898
1528,Densidade Residencial Baixa,NAmes,2 andares,8,1948,3,1.0,1,2.0,1224,8064
1529,Densidade Residencial Baixa,NAmes,1 andar,6,1960,3,2.0,1,2.0,1175,7635
1530,Densidade Residencial Baixa,NAmes,1 andar,7,1963,2,2.0,1,2.0,1395,9760
1531,Densidade Residencial Média,Old Town,2 andares,5,1900,3,1.0,1,2.0,1844,4800
1532,Densidade Residencial Média,Old Town,1 andar,7,1920,2,0.0,1,2.0,936,4485
1533,Densidade Residencial Média,Old Town,1 andar,7,1957,3,2.0,1,3.0,1347,5805
1534,Densidade Residencial Média,Old Town,2 andares,7,1938,3,1.0,1,1.0,1251,6900
1535,Densidade Residencial Média,Old Town,2 andares,7,1948,3,1.0,1,1.0,1633,11851
1536,Densidade Residencial Média,Old Town,2 andares,6,1920,3,1.0,1,1.0,1245,8239
1537,Densidade Residencial Média,Old Town,1 andar,2,1923,2,2.0,1,1.0,832,9656
1538,Densidade Residencial Média,Old Town,2 andares,9,1900,3,1.0,1,2.0,1566,9600
1539,Densidade Residencial Média,Old Town,2 andares,9,1890,3,2.0,1,3.0,2268,9000
1540,Densidade Residencial Média,Old Town,2 andares,3,1910,4,0.0,2,2.0,2256,9045
1541,Densidade Residencial Média,Old Town,2 andares,7,1922,2,2.0,1,2.0,1470,10560
1542,Densidade Residencial Média,Brookside,2 andares,6,1950,3,1.0,1,2.0,1612,5830
1543,Densidade Residencial Baixa,Brookside,2 andares,7,1922,3,1.0,1,2.0,2068,7793
1544,Densidade Residencial Média,Brookside,1 andar,7,1925,2,1.0,1,2.0,765,5000
1545,Densidade Residencial Média,Brookside,2 andares,7,1939,2,1.0,1,2.0,1132,6000
1546,Densidade Residencial Média,Brookside,2 andares,6,1940,3,2.0,1,3.0,1196,6000
1547,Densidade Residencial Média,Brookside,2 andares,6,1942,3,1.0,1,2.0,1453,6360
1548,Densidade Residencial Média,Brookside,2 andares,7,1948,3,1.0,1,2.0,1416,6000
1549,Densidade Residencial Média,Brookside,2 andares,7,1936,2,2.0,1,1.0,1040,6240
1550,Densidade Residencial Média,Brookside,2 andares,5,1930,4,2.0,1,2.0,1536,6240
1551,Densidade Residencial Média,Old Town,1 andar,5,1923,2,1.0,1,2.0,1068,6120
1552,Densidade Residencial Média,Old Town,2 andares,5,1915,4,2.0,1,2.0,1962,8094
1553,Densidade Residencial Média,Old Town,2 andares,8,1912,3,0.0,1,2.0,1560,12900
1554,Densidade Residencial Média,Old Town,2 andares,8,1920,3,1.0,1,2.0,1324,3068
1555,Densidade Residencial Baixa,Clear Creek,1 andar,5,1959,3,1.0,1,2.0,1675,15263
1556,Densidade Residencial Baixa,Clear Creek,2 andares,3,1917,3,1.0,1,2.0,1224,10632
1557,Densidade Residencial Baixa,South & West of Iowa State University,2 andares,4,1915,3,0.0,1,2.0,1392,9900
1558,Densidade Residencial Baixa,South & West of Iowa State University,2 andares,5,1940,3,1.0,1,1.0,919,6001
1559,C (all),South & West of Iowa State University,2 andares,1,1907,4,0.0,1,2.0,1884,6449
1560,Densidade Residencial Alta,South & West of Iowa State University,2 andares,7,1910,2,2.0,2,3.0,1680,6048
1561,Densidade Residencial Baixa,Sawyer,1 andar,3,1967,4,0.0,2,4.0,1832,10773
1562,Densidade Residencial Baixa,Sawyer,1 andar,7,1966,3,1.0,1,2.0,892,7800
1563,Densidade Residencial Baixa,Sawyer,1 andar,5,1968,2,1.0,1,2.0,864,7832
1564,Densidade Residencial Baixa,Sawyer,2 andares,5,1978,3,2.0,1,2.0,1373,7424
1565,Densidade Residencial Baixa,Sawyer,2 andares,5,1968,4,2.0,1,2.0,1440,11227
1566,Densidade Residencial Baixa,Clear Creek,1 andar,7,1977,1,2.0,1,3.0,1483,20062
1567,Densidade Residencial Baixa,Sawyer,1 andar,4,1927,2,2.0,1,1.0,756,9259
1568,Densidade Residencial Baixa,Clear Creek,2 andares,5,1978,4,2.0,1,4.0,1981,17082
1569,Densidade Residencial Baixa,Edwards,2 andares,4,1938,4,1.0,1,3.0,1610,18600
1570,Densidade Residencial Baixa,Edwards,1 andar,7,1950,3,1.0,1,2.0,1074,11479
1571,Densidade Residencial Baixa,Edwards,2 andares,6,1947,3,1.0,1,1.0,1531,9350
1572,Densidade Residencial Baixa,Edwards,1 andar,7,1954,3,1.0,1,2.0,1172,9525
1573,Densidade Residencial Baixa,Edwards,1 andar,5,2009,1,2.0,1,2.0,1508,17485
1574,Densidade Residencial Baixa,Edwards,1 andar,3,1964,3,2.0,1,2.0,1298,11200
1575,Densidade Residencial Baixa,Sawyer West,1 andar,5,1987,1,2.0,1,3.0,1433,11980
1576,Densidade Residencial Baixa,Sawyer West,2 andares,7,1993,3,4.0,1,4.0,1802,12361
1577,Densidade Residencial Baixa,College Creek,1 andar,5,2010,2,2.0,1,2.0,1222,7360
1578,Densidade Residencial Baixa,Sawyer West,2 andares,8,1900,3,2.0,1,2.0,1445,14235
1579,Densidade Residencial Baixa,College Creek,2 andares,5,1996,2,2.0,1,2.0,965,11105
1580,Densidade Residencial Baixa,College Creek,2 andares,5,1997,3,2.0,1,3.0,1692,9337
1581,Densidade Residencial Baixa,College Creek,1 andar,8,1977,3,1.0,1,3.0,1026,15240
1582,Densidade Residencial Baixa,College Creek,1 andar,6,1972,3,2.0,1,2.0,876,7480
1583,Densidade Residencial Baixa,College Creek,1 andar,5,2003,3,3.0,1,4.0,1978,10389
1584,Densidade Residencial Baixa,College Creek,2 andares,5,1997,4,2.0,1,3.0,2098,9375
1585,Densidade Residencial Média,College Creek,1 andar,5,2003,1,2.0,1,2.0,848,4435
1586,Densidade Residencial Baixa,Edwards,1 andar,6,1945,2,1.0,1,1.0,640,8777
1587,Densidade Residencial Baixa,Edwards,1 andar,6,1954,3,1.0,1,1.0,992,8842
1588,Densidade Residencial Baixa,Edwards,1 andar,6,1968,3,1.0,1,2.0,1196,10044
1589,Densidade Residencial Baixa,Edwards,2 andares,5,1948,2,2.0,1,1.0,1120,11792
1590,Densidade Residencial Baixa,Edwards,2 andares,6,1975,3,1.0,1,2.0,1096,6305
1591,Densidade Residencial Baixa,Edwards,1 andar,5,1958,3,0.0,1,1.0,960,6410
1592,Densidade Residencial Baixa,South & West of Iowa State University,1 andar,6,1924,2,1.0,1,2.0,1296,4853
1593,Densidade Residencial Baixa,South & West of Iowa State University,1 andar,6,1939,2,2.0,1,2.0,856,7890
1594,Densidade Residencial Alta,South & West of Iowa State University,2 andares,6,1967,6,0.0,2,3.0,2650,7200
1595,Densidade Residencial Baixa,South & West of Iowa State University,2 andares,2,1931,3,0.0,1,2.0,1666,9839
1596,Densidade Residencial Baixa,Crawford,2 andares,6,1941,4,1.0,1,3.0,2133,10452
1597,Densidade Residencial Baixa,Crawford,2 andares,6,1950,5,2.0,2,3.0,2177,15600
1598,Densidade Residencial Baixa,Crawford,2 andares,6,1994,3,2.0,1,4.0,1652,19645
1599,Densidade Residencial Média,Bluestem,1 andar,6,1989,1,2.0,1,2.0,1034,3907
1600,Densidade Residencial Média,Bluestem,1 andar,5,1989,2,2.0,1,2.0,1191,3907
1601,Densidade Residencial Média,Iowa DOT and Rail Road,1 andar,5,1941,1,1.0,1,1.0,540,8154
1602,Densidade Residencial Média,Iowa DOT and Rail Road,2 andares,5,1921,2,1.0,1,1.0,1107,9140
1603,C (all),Iowa DOT and Rail Road,1 andar,7,1896,3,1.0,1,1.0,952,8712
1604,Densidade Residencial Média,Crawford,1 andar,5,2004,2,2.0,1,4.0,1646,3811
1605,Densidade Residencial Baixa,Mitchell,2 andares,5,1998,3,3.0,1,4.0,1916,11050
1606,Densidade Residencial Baixa,Mitchell,2 andares,7,1977,3,2.0,1,3.0,1285,9620
1607,Densidade Residencial Baixa,Mitchell,1 andar,5,1976,5,2.0,2,3.0,2048,12760
1608,Densidade Residencial Baixa,Timberland,1 andar,5,2008,3,3.0,1,3.0,1346,11896
1609,Densidade Residencial Baixa,Timberland,1 andar,5,2009,2,2.0,1,2.0,1214,9803
1610,Densidade Residencial Baixa,Timberland,2 andares,5,2006,3,2.0,1,3.0,1444,9802
1611,Densidade Residencial Baixa,Mitchell,1 andar,5,1965,2,2.0,1,2.0,1264,15300
1612,Densidade Residencial Baixa,Mitchell,1 andar,5,2004,3,2.0,1,2.0,1430,10114
1613,Densidade Residencial Baixa,Mitchell,1 andar,5,1999,3,2.0,1,2.0,1344,11875
1614,Densidade Residencial Média,Meadow Village,1 andar,6,1973,2,1.0,1,3.0,945,2394
1615,Densidade Residencial Média,Meadow Village,2 andares,7,1970,3,0.0,1,2.0,1092,1476
1616,Densidade Residencial Média,Meadow Village,2 andares,4,1970,3,0.0,1,2.0,1092,1900
1617,Densidade Residencial Média,Meadow Village,2 andares,6,1972,3,1.0,1,2.0,1092,1890
1618,Densidade Residencial Baixa,Mitchell,1 andar,7,1971,3,1.0,1,1.0,874,6953
1619,Densidade Residencial Baixa,Mitchell,1 andar,7,1984,2,2.0,1,2.0,833,12887
1620,Densidade Residencial Baixa,Mitchell,2 andares,2,1985,4,2.0,2,6.0,2432,7700
1621,Densidade Residencial Baixa,Mitchell,2 andares,5,1991,3,2.0,1,2.0,1274,10475
1622,Densidade Residencial Baixa,Mitchell,2 andares,5,1969,5,1.0,1,2.0,1479,10544
1623,Densidade Residencial Baixa,Mitchell,1 andar,5,1994,3,2.0,1,5.0,1803,9892
1624,Densidade Residencial Baixa,Mitchell,2 andares,5,1993,3,2.0,1,4.0,1797,12961
1625,Densidade Residencial Baixa,NAmes,1 andar,5,1956,2,1.0,1,1.0,882,13008
1626,Densidade Residencial Baixa,NAmes,1 andar,5,1974,4,2.0,1,3.0,1434,10200
1627,Densidade Residencial Baixa,Gilbert,2 andares,5,1997,3,2.0,1,3.0,1608,10179
1628,Densidade Residencial Baixa,Gilbert,2 andares,5,2003,4,3.0,1,3.0,2283,11792
1629,Densidade Residencial Baixa,Gilbert,2 andares,5,1996,3,2.0,1,3.0,1628,8400
1630,Densidade Residencial Baixa,Stone Brook,1 andar,5,2004,1,2.0,1,3.0,2522,7296
1631,Densidade Residencial Baixa,Stone Brook,1 andar,5,1998,2,2.0,1,3.0,1478,7380
1632,Densidade Residencial Baixa,Stone Brook,1 andar,5,1995,2,2.0,1,3.0,1734,8013
1633,Densidade Residencial Baixa,Gilbert,2 andares,5,1998,3,2.0,1,3.0,1382,8923
1634,Densidade Residencial Baixa,Gilbert,2 andares,5,1998,3,2.0,1,4.0,1636,7500
1635,Densidade Residencial Baixa,Gilbert,2 andares,5,1994,3,2.0,1,4.0,1516,8803
1636,Densidade Residencial Baixa,Gilbert,1 andar,5,1993,3,2.0,1,2.0,1190,7250
1637,Densidade Residencial Baixa,Gilbert,2 andares,6,1977,3,2.0,1,4.0,1934,11900
1638,Densidade Residencial Baixa,Northwest Ames,2 andares,6,1978,4,2.0,1,3.0,2050,13250
1639,Densidade Residencial Baixa,Northwest Ames,1 andar,6,1978,3,2.0,1,2.0,1671,10928
1640,Densidade Residencial Baixa,Northwest Ames,2 andares,7,1980,4,2.0,1,3.0,2673,12388
1641,Densidade Residencial Baixa,Northwest Ames,1 andar,5,1978,3,2.0,1,2.0,1707,11088
1642,Área Residencial de Vilas Flutuantes,Somerset,2 andares,5,2003,3,2.0,1,4.0,1884,7000
1643,Área Residencial de Vilas Flutuantes,Somerset,2 andares,5,2000,3,2.0,1,3.0,1874,7500
1644,Área Residencial de Vilas Flutuantes,Somerset,2 andares,5,2002,3,2.0,1,3.0,1811,8470
1645,Densidade Residencial Baixa,Northwest Ames,1 andar,7,1975,3,2.0,1,3.0,1621,9373
1646,Densidade Residencial Baixa,Northwest Ames,1 andar,6,1974,3,2.0,1,3.0,1116,10140
1647,Densidade Residencial Baixa,Northwest Ames,1 andar,5,1975,3,2.0,1,2.0,1193,11050
1648,Densidade Residencial Baixa,NAmes,1 andar,5,1970,2,2.0,1,2.0,1180,7830
1649,Densidade Residencial Baixa,NAmes,1 andar,7,1971,3,1.0,1,3.0,1050,8510
1650,Densidade Residencial Baixa,NAmes,1 andar,6,1970,3,2.0,1,2.0,864,7038
1651,Densidade Residencial Baixa,NAmes,1 andar,7,1971,3,2.0,1,1.0,864,9000
1652,Densidade Residencial Média,Briardale,2 andares,5,1973,2,1.0,1,3.0,987,1680
1653,Densidade Residencial Média,Briardale,2 andares,6,1972,2,1.0,1,3.0,987,1680
1654,Densidade Residencial Baixa,Northpark Villa,2 andares,5,1976,3,2.0,1,3.0,1548,2308
1655,Densidade Residencial Baixa,Northpark Villa,1 andar,5,1975,2,2.0,1,3.0,1055,2280
1656,Densidade Residencial Baixa,Northpark Villa,2 andares,5,1977,3,2.0,1,3.0,1456,2349
1657,Densidade Residencial Baixa,Northpark Villa,2 andares,5,1978,3,2.0,1,4.0,1548,2364
1658,Densidade Residencial Baixa,Northpark Villa,2 andares,5,1978,3,2.0,1,3.0,1456,2364
1659,Densidade Residencial Baixa,Northpark Villa,1 andar,6,1976,2,1.0,1,2.0,836,2104
1660,Densidade Residencial Baixa,NAmes,1 andar,7,1966,3,2.0,1,2.0,1120,10710
1661,Densidade Residencial Baixa,Northridge Heights,2 andares,5,2007,4,3.0,1,5.0,2772,14257
1662,Densidade Residencial Baixa,Northridge Heights,2 andares,5,2009,3,3.0,1,4.0,2690,12350
1663,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2008,3,3.0,1,3.0,2020,12350
1664,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2007,2,3.0,1,5.0,2674,13693
1665,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2008,3,3.0,1,2.0,1736,11578
1666,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2004,3,3.0,1,3.0,1782,16870
1667,Densidade Residencial Baixa,Northridge Heights,2 andares,5,2007,5,3.0,1,4.0,2520,23303
1668,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2008,3,3.0,1,3.0,1743,10367
1669,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2006,2,3.0,1,3.0,1531,10872
1670,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2008,3,3.0,1,3.0,1808,13514
1671,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2003,3,2.0,1,3.0,1760,12878
1672,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2003,3,3.0,1,4.0,2452,15274
1673,Densidade Residencial Baixa,Northridge Heights,2 andares,5,2003,4,3.0,1,4.0,2400,13262
1674,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2006,3,3.0,1,2.0,1606,9658
1675,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2005,2,2.0,1,2.0,1358,6904
1676,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2005,1,2.0,1,3.0,1306,5122
1677,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2007,2,2.0,1,3.0,1358,10307
1678,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2004,2,3.0,1,4.0,2492,14836
1679,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2003,3,3.0,1,4.0,2200,15262
1680,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2008,2,2.0,1,3.0,1884,7390
1681,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2008,2,2.0,1,2.0,1456,6472
1682,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2002,3,3.0,1,3.0,1712,16770
1683,Densidade Residencial Baixa,Northridge Heights,1 andar,5,2003,2,2.0,1,2.0,1405,3480
1684,Densidade Residencial Baixa,Gilbert,2 andares,5,2005,3,2.0,1,3.0,1456,10928
1685,Densidade Residencial Baixa,Gilbert,2 andares,5,2005,3,2.0,1,3.0,1490,8918
1686,Densidade Residencial Baixa,Bloomington Heights,1 andar,5,2005,2,2.0,1,2.0,1220,3182
1687,Densidade Residencial Baixa,Gilbert,2 andares,5,2004,3,2.0,1,3.0,1374,9434
1688,Densidade Residencial Baixa,Gilbert,2 andares,5,2004,3,2.0,1,3.0,1630,7984
1689,Densidade Residencial Baixa,Gilbert,2 andares,5,2004,3,2.0,1,3.0,1594,10125
1690,Densidade Residencial Baixa,Gilbert,2 andares,5,2003,3,2.0,1,4.0,1489,8965
1691,Densidade Residencial Baixa,Gilbert,2 andares,5,2003,3,2.0,1,4.0,1342,8174
1692,Densidade Residencial Baixa,Gilbert,2 andares,5,2002,4,3.0,1,4.0,2004,12891
1693,Densidade Residencial Baixa,Gilbert,2 andares,5,2004,3,2.0,1,3.0,1374,9734
1694,Densidade Residencial Baixa,Gilbert,2 andares,5,2000,3,2.0,1,4.0,1514,8433
1695,Densidade Residencial Baixa,Gilbert,2 andares,5,1999,3,2.0,1,3.0,1430,7750
1696,Densidade Residencial Baixa,Gilbert,2 andares,5,1999,4,3.0,1,4.0,2312,15896
1697,Densidade Residencial Baixa,Gilbert,2 andares,6,1999,3,2.0,1,3.0,1430,7848
1698,Densidade Residencial Baixa,Northridge,2 andares,5,2000,4,3.0,1,4.0,2687,12720
1699,Densidade Residencial Baixa,Northridge,1 andar,5,1994,3,3.0,1,3.0,2063,10750
1700,Densidade Residencial Baixa,Northridge,2 andares,5,1995,3,2.0,1,4.0,2061,9085
1701,Densidade Residencial Baixa,Northridge,2 andares,5,1993,3,2.0,1,4.0,2232,11692
1702,Densidade Residencial Baixa,Somerset,1 andar,5,2008,3,3.0,1,2.0,1696,11194
1703,Densidade Residencial Baixa,Somerset,1 andar,5,2008,3,3.0,1,3.0,1658,10206
1704,Densidade Residencial Baixa,Somerset,1 andar,5,2007,3,3.0,1,3.0,1702,10130
1705,Densidade Residencial Baixa,Somerset,1 andar,5,2006,3,2.0,1,2.0,1432,9139
1706,Densidade Residencial Baixa,Somerset,1 andar,5,2005,2,3.0,1,3.0,2490,11128
1707,Área Residencial de Vilas Flutuantes,Somerset,1 andar,5,2008,3,2.0,1,2.0,1436,7993
1708,Área Residencial de Vilas Flutuantes,Somerset,1 andar,5,2008,3,2.0,1,2.0,1402,8640
1709,Área Residencial de Vilas Flutuantes,Somerset,1 andar,5,2007,3,3.0,1,2.0,1530,12606
1710,Área Residencial de Vilas Flutuantes,Somerset,1 andar,5,2006,2,2.0,1,2.0,1448,7500
1711,Área Residencial de Vilas Flutuantes,Somerset,2 andares,5,2006,3,3.0,1,4.0,1795,10603
1712,Área Residencial de Vilas Flutuantes,Somerset,1 andar,5,2008,3,2.0,1,2.0,1836,8125
1713,Área Residencial de Vilas Flutuantes,Somerset,1 andar,5,2006,3,3.0,1,3.0,1662,10625
1714,Área Residencial de Vilas Flutuantes,Somerset,1 andar,5,2003,3,2.0,1,3.0,1553,8736
1715,Área Residencial de Vilas Flutuantes,Somerset,2 andares,5,2003,3,2.0,1,4.0,1653,8127
1716,Densidade Residencial Baixa,Sawyer West,1 andar,6,2007,3,2.0,1,2.0,1218,9605
1717,Densidade Residencial Baixa,Sawyer West,1 andar,5,2006,3,2.0,1,3.0,1141,7500
1718,Densidade Residencial Baixa,Sawyer West,1 andar,5,2004,3,0.0,1,2.0,1158,7500
1719,Densidade Residencial Baixa,Sawyer West,2 andares,5,2004,3,2.0,1,3.0,1812,10628
1720,Densidade Residencial Baixa,Sawyer West,1 andar,5,2004,3,3.0,1,2.0,1512,10141
1721,Densidade Residencial Baixa,Sawyer West,1 andar,5,2004,3,2.0,1,2.0,1114,13072
1722,Densidade Residencial Baixa,Sawyer West,1 andar,5,2004,3,0.0,1,2.0,1114,13072
1723,Densidade Residencial Baixa,Sawyer West,1 andar,5,2003,3,2.0,1,3.0,1114,12450
1724,Densidade Residencial Baixa,Sawyer West,1 andar,5,2008,2,3.0,1,2.0,1450,7328
1725,Densidade Residencial Baixa,Sawyer West,2 andares,5,1996,4,2.0,1,4.0,2122,11492
1726,Densidade Residencial Baixa,Sawyer West,2 andares,6,1992,3,2.0,1,3.0,1730,7703
1727,Densidade Residencial Baixa,Sawyer West,1 andar,5,1990,2,2.0,1,2.0,1332,7175
1728,Densidade Residencial Baixa,Sawyer West,2 andares,5,1994,3,2.0,1,4.0,1540,9109
1729,Densidade Residencial Baixa,Sawyer West,2 andares,7,1986,3,2.0,1,3.0,1400,10274
1730,Densidade Residencial Baixa,Sawyer West,2 andares,7,1981,4,2.0,2,2.0,1882,8250
1731,Densidade Residencial Baixa,Sawyer,1 andar,5,1962,3,2.0,1,2.0,980,9750
1732,Densidade Residencial Baixa,Sawyer,1 andar,6,1961,3,2.0,1,2.0,864,8499
1733,Densidade Residencial Baixa,Sawyer,1 andar,5,1961,2,1.0,1,1.0,864,9079
1734,Densidade Residencial Baixa,Sawyer,1 andar,5,1965,3,1.0,1,2.0,1020,9316
1735,Densidade Residencial Baixa,Sawyer,1 andar,8,1963,3,1.0,1,2.0,912,7791
